Sentence,Label
SOFTWARE ENGINEERING I (CS_361_400_S2022)   ,Not
Dashboard    SOFTWARE ENGINEERING I (CS_361_400_S2022) Syllabus           Immersive Reader        Skip to content    Dashboard                           Account                     Dashboard                       Courses                                    Groups                                  Calendar               Resources                      Inbox                                    History                                Commons                          My Media                               Help                                 Close          My dashboard  SOFTWARE ENGINEERING I (CS_361_400_S2022)Syllabus             Immersive Reader        Spring 2022 HomeSyllabusAnnouncementsModulesEd DiscussionMicrosoft TeamsAssignmentsTutorMeMedia Gallery      SOFTWARE ENGINEERING I (CS_361_400_S2022)    SOFTWARE ENGINEERING I (CS_361_400_S2022)   Jump to today        Course Introduction   Syllabus & Schedule   Where to go for Help?   Tools & Textbooks   Support & Other Info    NOTE: Some links on this page may only be accessible to registered students,Not
 Start Here Please begin the course by clicking the Start Here button,Instruction
This course will introduce you to tools and methods for real-world software development,Not
You will be working in teams (you can choose your teammates) of about five on non-programming and programming assignments,Not
Your team will use the Agile Scrum approach to software project implementation and management (starting later in the term),Not
"During this course, you will learn how to plan out and specify what your software should do and how users should experience it, how to evaluate how well your software design reflects those specifications, how to use the microservices high-level architecture, how to structure your work and teamwork in a way that supports iterative growth and ongoing contributions from multiple developers, and other non-technical and technical skills and concepts",Not
"We will explore some topics in-depth, and others just enough for you to get the idea so that, when you're working on future software projects, you can decide whether or not the methods could help with what you're doing",Not
"This course does NOT aim to teach the ""best"" way to manage software projects or to create software",Not
There are a huge variety of software creation environments,Not
They all work differently,Not
Even teams within the same organization can create software in vastly different ways,Not
"Instead, this course aims to show you pieces of software methodology that can be incorporated into many software creation environments",Not
"Course Learning Outcomes By the end of this course, you should be able to",Not
Select the most appropriate software process model to use in a particular situation,Instruction
 Synthesize requirements for a realistic software system and write a requirements specification document ,Instruction
Produce professional-quality software-related documents ,Instruction
"Model system requirements using one or more semi-formal notations such as UML, dataflow diagrams, entity-relationship diagrams, or state diagrams ",Instruction
Validate designs and adjust the specification or design as necessary,Instruction
"Design software systems at an architectural level and at lower levels, using one or more techniques, such as object-oriented design or agile methods, and express these designs in design specification documents  ",Instruction
Describe several methods of estimating the cost and developing a schedule for a programming project Participate effectively in a team environment ,Instruction
The focus of this course is helping you become a self-directed but collaborative software engineer---two areas of ability employers are looking for,Not
"You choose the programming language, the algorithms, and, with your team, what functionality to write and when",Not
